Output of 'ps -ef':
UID          PID    PPID  C STIME TTY          TIME CMD
aro        52668   52388  0 17:40 ?        00:00:04 /usr/libexec/at-spi2-registryd --use-gnome-session
aro        52672   52388  0 17:40 ?        00:00:00 /usr/libexec/xdg-permission-store
aro        52674   52388  0 17:40 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
aro        52683   52388  0 17:40 ?        00:00:00 /usr/libexec/evolution-source-registry
aro        52691   52388  0 17:40 ?        00:00:00 /usr/libexec/goa-daemon
aro        52701   52388  0 17:40 ?        00:00:00 /usr/libexec/goa-identity-service
aro        52702   52388  0 17:40 ?        00:00:00 /usr/libexec/evolution-calendar-factory
geoclue    52708       1  0 17:40 ?        00:00:00 /usr/libexec/geoclue
aro        52716   52388  0 17:40 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
aro        52724   52388  0 17:40 ?        00:00:00 /usr/libexec/dconf-service
aro        52725   52388  0 17:40 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
aro        52735   52388  0 17:40 ?        00:00:01 /usr/libexec/gvfs-afc-volume-monitor
aro        52743   52388  0 17:40 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
aro        52749   52388  0 17:40 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
aro        52754   52388  0 17:40 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
aro        52768   52388  0 17:40 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
aro        52777   52629  0 17:40 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.26 /org/gtk/gvfs/exec_spaw/0
aro        52790   52388  0 17:40 ?        00:00:00 /usr/libexec/gsd-a11y-settings
aro        52791   52388  0 17:40 ?        00:00:04 /usr/libexec/gsd-color
aro        52794   52388  0 17:40 ?        00:00:00 /usr/libexec/gsd-datetime
aro        52795   52388  0 17:40 ?        00:00:00 /usr/libexec/gsd-housekeeping
aro        52796   52388  0 17:40 ?        00:00:00 /usr/libexec/gsd-keyboard
aro        52797   52388  0 17:40 ?        00:00:00 /usr/libexec/gsd-media-keys
aro        52798   52388  0 17:40 ?        00:00:00 /usr/libexec/gsd-power
aro        52799   52388  0 17:40 ?        00:00:00 /usr/libexec/gsd-print-notifications
aro        52800   52388  0 17:40 ?        00:00:00 /usr/libexec/gsd-rfkill
aro        52801   52388  0 17:40 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
aro        52802   52388  0 17:40 ?        00:00:00 /usr/libexec/gsd-sharing
aro        52803   52388  0 17:40 ?        00:00:00 /usr/libexec/gsd-smartcard
aro        52808   52388  0 17:40 ?        00:00:00 /usr/libexec/gsd-sound
aro        52811   52388  0 17:40 ?        00:00:00 /usr/libexec/gsd-usb-protection
aro        52816   52388  0 17:40 ?        00:00:00 /usr/libexec/gsd-wacom
aro        52820   52388  0 17:40 ?        00:00:00 /usr/libexec/gsd-wwan
aro        52827   52388  0 17:40 ?        00:00:00 /usr/libexec/gsd-xsettings
aro        52873   52586  0 17:40 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
aro        52880   52586  0 17:40 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
aro        52887   52647  0 17:40 ?        00:00:00 /usr/libexec/ibus-engine-simple
aro        52945   52388  0 17:40 ?        00:00:00 /usr/libexec/gsd-printer
